id;name;tax_id;email;phone;city;signup_date
001;MICHAEL CHEN;533963605; michael.chen@company.com;(305) 355-9115;NY;2025-09-19
2.0;  John Pedro Alves;702621745;n/a;+1 305 7467226;Berlin;September 2, 2025
3;Fernanda Souza;43-1611724; fernanda.souza@gmail.com;312-5677141;NY;17-Apr-2025
004;Priya Raghavan;221-96-9379;priya.raghavan@company.com ;312-8821153;são paulo;18/11/2025
5.0;Fernanda Souza;946-47-4367;fernanda.souza@company.com ;(312) 916-5837;london ;May 1, 2025
006;Carlos Eduardo Lima;439533942; carlos.eduardo.lima@gmail.com;2127936977;new york;45788
7;Thiago Martins   ;858842474;thiago.martins@GMAIL.COM;212-3444696;Toronto;03-Jun-2025
8.0;Ana  Beatriz Rocha;754-96-5137; ana.beatriz.rocha@gmial.com;415-8632035;são paulo;11/14/2025
9;Mariana Castro;471138267; mariana.castro@gmial.com;(305) 358-7797;Berlin;2025-10-14
0010;CARLOS EDUARDO LIMA;773515850;carlos.eduardo.lima@hotmail.com;1-646-293-4475;New York;2025-01-26
11;Bruno Tavares;318 393 352;bruno.tavares@gmial.com;+1 415 3339850;NY;02/22/2025
12;MARIANA CASTRO;395024026; mariana.castro@gmail.com;312-7252786;Toronto;04/20/2025
13.0;sarah o'brien;00-7661771;sarah.obrien@GMAIL.COM ;+1 415 4819984;london ;2025-10-17
0014;Vanessa Cardoso;118 367 365; vanessa.cardoso@company.com;+1 312 6376120;London;22-Mar-2025
15;Fernanda Souza;161528098; fernanda.souza@gmail.com;(305) 968-7929;são paulo;2025-10-10
0016;John  Pedro Alves;273158514;john.pedro.alves@company.com ;1-718-828-1430;são paulo;2025-01-06
17.0;DIEGO MORAES;229-61-2018; diego.moraes@company.com;1-312-519-6314;TORONTO;02/02/2025
0018;  Rafael Nogueira;147-67-9764;rafael.nogueira@gmial.com;1-212-490-8972;são paulo;08-Jan-2025
19;  Tomás Núñez;432445107;tomas.nunez@hotmail.com;1-305-435-9196;London;45701
