response_id,customer,score,comment,answered_at,channel
1,Tomás Núñez,-1,"Product arrived damaged; asked for a swap and ""nobody replied""",2026-09-26,WhatsApp
2,Julia Prado,ten,"Product arrived damaged; asked for a swap and ""nobody replied""",21-Feb-2026,phone
3,Vanessa Cardoso   ,score 8,"took way too long to arrive,
but the product is good",01/06/2026,email
4,  Michael Chen,-1,"Product arrived damaged; asked for a swap and ""nobody replied""",23-Mar-2026,Tel.
5,Ana Beatriz Rocha   ,2,,11-Apr-2026,chat
6,Gustavo Pinheiro,7,"Product arrived damaged; asked for a swap and ""nobody replied""",27/02/2026,email
7,Camila Andrade,score 8,"took way too long to arrive,
but the product is good",2026-04-27,WhatsApp
8,  Ana Beatriz Rocha,9.5,would not recommend,46242,email
9,julia prado,11,,2026-07-22,chat
10,Rafael Nogueira,10/10,"Product arrived damaged; asked for a swap and ""nobody replied""",2026-08-21,E-mail
11,Lucas Ferreira,11,Great service! 😀,21-Apr-2026,chat
12,Ana Beatriz Rocha   ,10/10,,04/01/2026,phone
13,Gustavo Pinheiro,,would not recommend,08/02/2026,WhatsApp
14,Fernanda Souza,5,Great service! 😀,21/06/2026,Tel.
15,Michael Chen,score 8,"took way too long to arrive,
but the product is good",46191,chat
16,Vanessa Cardoso,9.5,"Product arrived damaged; asked for a swap and ""nobody replied""",03/09/2026,WhatsApp
17,Vanessa Cardoso,score 8,"took way too long to arrive,
but the product is good",2026-03-18,chat
18,Vanessa Cardoso   ,ten,Great service! 😀,05-Sep-2026,chat
19,Camila  Andrade,7,would not recommend,46278,E-mail
20,Ana Beatriz Rocha,11,"Product arrived damaged; asked for a swap and ""nobody replied""","February 22, 2026",WhatsApp
21,Julia  Prado,ten,   ,11-May-2026,Tel.
22,  Patricia Ramos,10/10,Great service! 😀,03/06/2026,E-mail
23,John  Pedro Alves,1,   ,22-Jul-2026,phone
24,Tomás Núñez,4,"Product arrived damaged; asked for a swap and ""nobody replied""",46132,email
25,Ana Beatriz Rocha,score 8,would not recommend,46068,email
26,Lucas Ferreira,,would not recommend,"January 27, 2026",chat
27,  Sarah O'Brien,-1,Great service! 😀,04/17/2026,email
28,Bruno  Tavares,11,   ,46131,E-mail
29,Michael Chen,10/10,would not recommend,22-Jun-2026,Tel.
30,Thiago Martins,ten,   ,2026-07-17,Tel.
31,Rafael  Nogueira,score 8,"Product arrived damaged; asked for a swap and ""nobody replied""",2026-06-18,chat
32,Thiago Martins,,   ,"April 19, 2026",E-mail
33,Renata Barbosa,,,08/13/2026,Tel.
34,Carlos Eduardo Lima,9,   ,03/10/2026,chat
35,Bruno Tavares   ,5,would not recommend,"May 18, 2026",phone
36,Priya Raghavan,10/10,Great service! 😀,12/08/2026,E-mail
37,CAMILA ANDRADE,11,"took way too long to arrive,
but the product is good",2026-05-26,email
38,PRIYA RAGHAVAN,10/10,"All good, 10 out of 10",26-Jun-2026,E-mail
39,Gustavo Pinheiro,10/10,   ,46144,phone
40,  Renata Barbosa,,"Product arrived damaged; asked for a swap and ""nobody replied""",07/14/2026,E-mail
41,Tomás Núñez,9.5,Great service! 😀,05/17/2026,chat
42,Michael Chen,11,"took way too long to arrive,
but the product is good",46044,WhatsApp
43,Vanessa Cardoso,10/10,"took way too long to arrive,
but the product is good",10-Jul-2026,E-mail
44,MARIANA CASTRO,7,   ,07/09/2026,WhatsApp
45,sarah o'brien,ten,,07-Sep-2026,WhatsApp
46,Priya Raghavan   ,11,"took way too long to arrive,
but the product is good",09-Feb-2026,chat
47,  Priya Raghavan,9.5,,12/06/2026,chat
48,Lucas Ferreira,-1,"took way too long to arrive,
but the product is good",20-Jun-2026,phone
49,mariana castro,11,"All good, 10 out of 10",46178,email
50,John Pedro Alves,ten,would not recommend,2026-05-01,Tel.
51,JOHN PEDRO ALVES,7,"Product arrived damaged; asked for a swap and ""nobody replied""","April 24, 2026",E-mail
52,Julia  Prado,score 8,   ,46104,Tel.
53,ANA BEATRIZ ROCHA,10,"Product arrived damaged; asked for a swap and ""nobody replied""",2026-03-02,E-mail
54,Tomás Núñez   ,7,Great service! 😀,2026-07-22,Tel.
55,Lucas Ferreira,-1,would not recommend,08-Jul-2026,phone
